,target
814,82.0
815,76.0
816,70.0
817,95.0
818,122.0
819,117.0
820,42.0
821,38.0
822,42.0
823,50.0
824,91.0
825,112.0
826,144.0
827,139.0
828,127.0
829,127.0
830,155.0
831,155.0
832,107.0
833,72.0
834,65.0
835,72.0
836,55.0
837,46.0
838,53.0
839,55.0
840,53.0
841,59.0
842,76.0
843,76.0
844,97.0
845,65.0
846,68.0
847,55.0
848,82.0
849,65.0
850,59.0
851,59.0
852,55.0
853,59.0
854,50.0
855,50.0
856,46.0
857,50.0
858,34.0
859,38.0
860,53.0
861,42.0
862,59.0
863,63.0
864,38.0
865,38.0
866,53.0
867,38.0
868,34.0
869,17.0
870,21.0
871,42.0
872,53.0
873,34.0
874,21.0
875,13.0
876,21.0
877,50.0
878,50.0
879,34.0
880,25.0
881,63.0
882,57.0
883,25.0
884,17.0
885,21.0
886,21.0
887,17.0
888,13.0
889,38.0
890,34.0
891,21.0
892,30.0
893,53.0
894,61.0
895,25.0
896,59.0
897,21.0
898,50.0
899,65.0
900,76.0
901,21.0
902,42.0
903,55.0
904,57.0
905,50.0
906,46.0
907,50.0
908,21.0
909,25.0
910,53.0
911,13.0
912,17.0
913,9.0
914,21.0
915,13.0
916,9.0
917,9.0
918,17.0
919,34.0
920,50.0
921,38.0
922,30.0
923,34.0
924,17.0
925,21.0
926,17.0
927,25.0
928,17.0
929,9.0
930,13.0
931,21.0
932,42.0
933,25.0
934,21.0
935,25.0
936,38.0
937,46.0
938,99.0
939,99.0
940,13.0
941,17.0
942,30.0
943,13.0
944,21.0
945,25.0
946,25.0
947,21.0
948,13.0
949,21.0
950,38.0
951,17.0
952,25.0
953,17.0
954,34.0
955,21.0
956,34.0
957,21.0
958,30.0
959,25.0
960,25.0
961,50.0
962,55.0
963,63.0
964,34.0
965,65.0
966,91.0
967,107.0
968,30.0
969,25.0
970,34.0
971,57.0
972,50.0
973,30.0
974,74.0
975,61.0
976,65.0
977,55.0
978,82.0
979,74.0
980,78.0
981,78.0
982,74.0
983,70.0
984,114.0
985,104.0
986,114.0
987,102.0
988,89.0
989,72.0
990,70.0
991,91.0
992,93.0
993,109.0
994,107.0
995,82.0
996,63.0
997,107.0
998,139.0
999,139.0
1000,97.0
1001,117.0
1002,129.0
1003,93.0
1004,107.0
1005,129.0
1006,102.0
1007,119.0
1008,82.0
1009,99.0
1010,102.0
1011,91.0
1012,107.0
1013,95.0
1014,117.0
1015,80.0
1016,122.0
1017,99.0
1018,99.0
1019,82.0
1020,95.0
1021,89.0
1022,93.0
1023,107.0
1024,95.0
1025,114.0
1026,93.0
1027,95.0
1028,87.0
1029,78.0
1030,93.0
1031,76.0
1032,74.0
1033,57.0
1034,63.0
1035,68.0
1036,78.0
1037,95.0
1038,85.0
1039,87.0
1040,65.0
1041,63.0
1042,85.0
1043,87.0
1044,82.0
1045,80.0
1046,80.0
1047,78.0
1048,65.0
1049,72.0
1050,59.0
1051,68.0
1052,182.0
1053,187.0
1054,154.0
1055,164.0
1056,165.0
1057,139.0
1058,82.0
1059,163.0
1060,102.0
1061,97.0
1062,132.0
1063,107.0
1064,122.0
1065,72.0
1066,57.0
1067,112.0
1068,154.0
1069,134.0
1070,153.0
1071,89.0
1072,93.0
1073,157.0
1074,109.0
1075,154.0
1076,76.0
1077,109.0
1078,68.0
1079,132.0
1080,72.0
1081,76.0
1082,114.0
1083,104.0
1084,68.0
1085,97.0
1086,72.0
1087,127.0
1088,74.0
1089,124.0
1090,68.0
1091,26.0
1092,22.0
1093,21.0
1094,30.0
1095,51.0
1096,31.0
1097,20.0
1098,26.0
1099,42.0
1100,67.0
1101,79.0
1102,62.0
1103,59.0
1104,54.0
1105,50.0
1106,37.0
1107,38.0
1108,57.0
1109,116.0
1110,70.0
1111,65.0
1112,53.0
1113,59.0
1114,69.0
1115,48.0
1116,35.0
1117,26.0
1118,21.0
1119,23.0
1120,31.0
1121,30.0
1122,51.0
1123,51.0
1124,55.0
1125,44.0
1126,47.0
1127,62.0
1128,54.0
1129,35.0
1130,17.0
1131,25.0
1132,63.0
1133,56.0
1134,49.0
1135,51.0
1136,42.0
1137,55.0
1138,47.0
1139,51.0
1140,51.0
1141,38.0
1142,32.0
1143,45.0
1144,44.0
1145,51.0
1146,66.0
1147,38.0
1148,54.0
1149,51.0
1150,43.0
1151,29.0
1152,23.0
1153,10.0
1154,25.0
1155,40.0
1156,41.0
1157,40.0
1158,34.0
1159,42.0
1160,58.0
1161,38.0
1162,26.0
1163,16.0
1164,11.0
1165,39.0
1166,47.0
1167,49.0
1168,43.0
1169,50.0
1170,51.0
1171,57.0
1172,51.0
1173,56.0
1174,9.0
1175,17.0
1176,21.0
1177,55.0
1178,25.0
1179,50.0
1180,50.0
1181,53.0
1182,30.0
1183,46.0
1184,63.0
1185,61.0
1186,61.0
1187,55.0
1188,42.0
1189,53.0
1190,50.0
1191,55.0
1192,53.0
1193,25.0
1194,30.0
1195,34.0
1196,38.0
1197,21.0
1198,34.0
1199,34.0
1200,38.0
1201,38.0
1202,30.0
1203,34.0
1204,25.0
1205,38.0
1206,46.0
1207,42.0
1208,42.0
1209,46.0
1210,50.0
1211,57.0
1212,50.0
1213,50.0
1214,50.0
1215,53.0
1216,50.0
1217,50.0
1218,42.0
1219,38.0
1220,30.0
1221,50.0
1222,50.0
1223,46.0
1224,53.0
1225,57.0
1226,38.0
1227,46.0
1228,50.0
1229,46.0
1230,46.0
1231,53.0
1232,46.0
1233,42.0
1234,42.0
1235,50.0
1236,34.0
1237,46.0
1238,42.0
1239,38.0
1240,42.0
1241,46.0
1242,30.0
1243,42.0
1244,144.0
1245,153.0
1246,74.0
1247,59.0
1248,21.0
1249,21.0
1250,21.0
1251,30.0
1252,17.0
1253,21.0
1254,55.0
1255,124.0
1256,127.0
1257,65.0
1258,55.0
1259,72.0
1260,50.0
1261,55.0
1262,68.0
1263,30.0
1264,34.0
1265,34.0
1266,55.0
1267,30.0
1268,63.0
1269,114.0
1270,70.0
1271,59.0
1272,21.0
1273,30.0
1274,53.0
1275,38.0
1276,53.0
1277,9.0
1278,53.0
1279,50.0
1280,57.0
1281,34.0
1282,104.0
1283,38.0
1284,57.0
1285,74.0
1286,30.0
1287,34.0
1288,50.0
1289,30.0
1290,30.0
1291,55.0
1292,53.0
1293,57.0
1294,46.0
1295,32.0
1296,34.0
1297,55.0
1298,59.0
1299,30.0
1300,13.0
1301,25.0
1302,18.0
1303,26.0
1304,29.0
1305,23.0
1306,17.0
1307,21.0
1308,25.0
1309,25.0
1310,17.0
1311,17.0
1312,25.0
1313,25.0
1314,25.0
1315,25.0
1316,42.0
1317,61.0
1318,21.0
1319,24.0
1320,25.0
1321,19.0
1322,25.0
1323,21.0
1324,30.0
1325,25.0
1326,30.0
1327,21.0
1328,19.0
1329,17.0
1330,35.0
1331,23.0
1332,21.0
1333,25.0
1334,26.0
1335,76.0
1336,28.0
1337,59.0
1338,24.0
1339,55.0
1340,16.0
1341,10.0
1342,33.0
1343,69.0
1344,66.0
1345,59.0
1346,20.0
1347,15.0
1348,58.0
1349,63.0
1350,33.0
1351,37.0
1352,46.0
1353,31.0
1354,1.0
1355,55.0
1356,59.0
1357,53.0
1358,15.0
1359,38.0
1360,29.0
1361,60.0
1362,10.0
1363,12.0
1364,32.0
1365,24.0
1366,27.0
1367,33.0
1368,5.0
1369,14.0
1370,36.0
1371,8.0
1372,20.0
1373,20.0
1374,12.0
1375,26.0
1376,42.0
1377,13.0
1378,27.0
1379,15.0
1380,37.0
1381,55.0
1382,33.0
1383,30.0
1384,40.0
1385,38.0
1386,46.0
1387,42.0
1388,42.0
1389,63.0
1390,60.0
1391,61.0
1392,59.0
1393,46.0
1394,38.0
1395,53.0
1396,50.0
1397,51.0
1398,51.0
1399,59.0
1400,88.0
1401,45.0
1402,48.0
1403,38.0
1404,34.0
1405,53.0
1406,73.0
1407,70.0
1408,61.0
1409,50.0
1410,38.0
1411,55.0
1412,68.0
1413,78.0
1414,78.0
1415,85.0
1416,59.0
1417,55.0
1418,50.0
1419,61.0
1420,50.0
1421,50.0
1422,72.0
1423,53.0
1424,46.0
1425,50.0
1426,74.0
1427,72.0
1428,30.0
1429,65.0
1430,89.0
1431,46.0
1432,85.0
1433,38.0
1434,63.0
1435,89.0
1436,34.0
1437,46.0
1438,30.0
1439,25.0
1440,42.0
1441,53.0
1442,122.0
1443,53.0
1444,85.0
1445,82.0
1446,68.0
1447,61.0
1448,72.0
1449,72.0
1450,74.0
1451,69.0
1452,92.0
1453,79.0
1454,69.0
1455,78.0
1456,55.0
1457,67.0
1458,85.0
1459,84.0
1460,72.0
1461,78.0
1462,94.0
1463,100.0
1464,100.0
1465,97.0
1466,104.0
1467,80.0
1468,54.0
1469,88.0
1470,94.0
1471,97.0
1472,98.0
1473,121.0
1474,154.0
1475,137.0
1476,118.0
1477,112.0
1478,111.0
1479,90.0
1480,72.0
1481,97.0
1482,84.0
1483,87.0
1484,106.0
1485,96.0
1486,87.0
1487,56.0
1488,58.0
1489,57.0
1490,61.0
1491,82.0
1492,68.0
1493,57.0
1494,62.0
1495,74.0
1496,65.0
1497,69.0
1498,67.0
1499,85.0
1500,64.0
1501,87.0
1502,67.0
1503,81.0
1504,61.0
1505,65.0
1506,56.0
1507,69.0
1508,57.0
1509,60.0
1510,64.0
1511,70.0
1512,70.0
1513,67.0
1514,65.0
1515,72.0
1516,71.0
1517,60.0
1518,61.0
1519,89.0
1520,78.0
1521,160.0
1522,165.0
1523,63.0
1524,134.0
1525,102.0
1526,87.0
1527,46.0
1528,104.0
1529,65.0
1530,112.0
1531,97.0
1532,137.0
1533,76.0
1534,59.0
1535,112.0
1536,97.0
1537,93.0
1538,117.0
1539,70.0
1540,72.0
1541,70.0
1542,82.0
1543,74.0
1544,78.0
1545,17.0
1546,112.0
1547,95.0
1548,50.0
1549,74.0
1550,74.0
1551,78.0
1552,78.0
1553,61.0
1554,76.0
1555,57.0
1556,38.0
1557,53.0
1558,53.0
1559,107.0
1560,93.0
1561,76.0
1562,85.0
1563,93.0
1564,97.0
1565,95.0
1566,74.0
1567,76.0
1568,85.0
1569,65.0
1570,65.0
1571,99.0
1572,46.0
1573,34.0
1574,25.0
1575,50.0
1576,46.0
1577,50.0
1578,57.0
1579,76.0
1580,74.0
1581,46.0
1582,42.0
1583,57.0
1584,59.0
1585,82.0
1586,74.0
1587,38.0
1588,42.0
1589,63.0
1590,34.0
1591,50.0
1592,30.0
1593,25.0
1594,34.0
1595,42.0
1596,38.0
1597,25.0
1598,53.0
1599,25.0
1600,46.0
1601,59.0
1602,59.0
1603,17.0
1604,25.0
1605,53.0
1606,63.0
1607,65.0
1608,57.0
1609,72.0
1610,72.0
1611,30.0
1612,63.0
1613,16.0
1614,19.0
1615,10.0
1616,12.0
1617,14.0
1618,13.0
1619,15.0
1620,20.0
1621,33.0
1622,12.0
1623,22.0
1624,17.0
1625,21.0
1626,29.0
1627,30.0
1628,25.0
1629,16.0
1630,23.0
1631,8.0
1632,13.0
1633,17.0
1634,13.0
1635,16.0
1636,16.0
1637,15.0
1638,24.0
1639,9.0
1640,21.0
1641,31.0
1642,35.0
1643,45.0
1644,10.0
1645,12.0
1646,8.0
1647,8.0
1648,13.0
1649,14.0
1650,13.0
1651,14.0
1652,8.0
1653,14.0
1654,16.0
1655,22.0
1656,16.0
1657,18.0
1658,13.0
1659,16.0
1660,17.0
1661,21.0
1662,20.0
1663,15.0
1664,15.0
1665,18.0
1666,19.0
1667,21.0
1668,17.0
1669,16.0
1670,17.0
1671,15.0
1672,13.0
1673,15.0
1674,16.0
1675,15.0
1676,15.0
1677,9.0
1678,10.0
1679,10.0
1680,11.0
1681,13.0
1682,13.0
1683,18.0
1684,17.0
1685,14.0
1686,8.0
1687,9.0
1688,6.0
1689,9.0
1690,9.0
1691,9.0
1692,8.0
1693,8.0
1694,10.0
1695,10.0
1696,13.0
1697,7.0
1698,10.0
1699,9.0
1700,8.0
1701,9.0
1702,10.0
1703,5.0
1704,7.0
1705,9.0
1706,12.0
1707,13.0
1708,8.0
1709,9.0
1710,7.0
1711,8.0
1712,93.0
1713,154.0
1714,50.0
1715,75.0
1716,147.0
1717,160.0
1718,183.0
1719,104.0
1720,109.0
1721,104.0
1722,172.0
1723,151.0
1724,76.0
1725,124.0
1726,166.0
1727,157.0
1728,82.0
1729,72.0
1730,122.0
1731,76.0
1732,72.0
1733,65.0
1734,50.0
1735,82.0
1736,93.0
1737,153.0
1738,42.0
1739,60.0
1740,93.0
1741,57.0
1742,154.0
1743,106.0
1744,94.0
1745,75.0
1746,58.0
1747,88.0
1748,79.0
1749,51.0
1750,57.0
1751,64.0
1752,64.0
1753,38.0
1754,80.0
1755,104.0
1756,112.0
1757,139.0
1758,134.0
1759,102.0
1760,93.0
1761,54.0
1762,100.0
1763,21.0
1764,30.0
1765,17.0
1766,17.0
1767,25.0
1768,21.0
1769,25.0
1770,42.0
1771,25.0
1772,21.0
1773,21.0
1774,30.0
1775,25.0
1776,30.0
1777,21.0
1778,25.0
1779,30.0
1780,21.0
1781,25.0
1782,38.0
1783,38.0
1784,34.0
1785,21.0
1786,61.0
1787,65.0
1788,72.0
1789,57.0
1790,42.0
1791,38.0
1792,42.0
1793,34.0
1794,38.0
1795,34.0
1796,25.0
1797,21.0
1798,25.0
1799,25.0
1800,17.0
1801,34.0
1802,50.0
1803,46.0
1804,50.0
1805,34.0
1806,17.0
1807,17.0
1808,25.0
1809,30.0
1810,42.0
1811,42.0
1812,46.0
1813,25.0
1814,34.0
1815,25.0
1816,30.0
1817,21.0
1818,21.0
1819,21.0
1820,13.0
1821,21.0
1822,25.0
1823,25.0
1824,21.0
1825,30.0
1826,25.0
1827,30.0
1828,25.0
1829,25.0
1830,17.0
1831,34.0
1832,38.0
1833,53.0
1834,50.0
1835,65.0
1836,61.0
1837,27.0
1838,44.0
1839,31.0
1840,14.0
1841,43.0
1842,65.0
1843,58.0
1844,29.0
1845,25.0
1846,22.0
1847,34.0
1848,96.0
1849,91.0
1850,64.0
1851,20.0
1852,20.0
1853,18.0
1854,23.0
1855,67.0
1856,18.0
1857,22.0
1858,21.0
1859,14.0
1860,39.0
1861,16.0
1862,35.0
1863,32.0
1864,37.0
1865,26.0
1866,18.0
1867,18.0
1868,15.0
1869,25.0
1870,18.0
1871,29.0
1872,19.0
1873,21.0
1874,27.0
1875,32.0
1876,48.0
1877,50.0
1878,57.0
1879,48.0
1880,67.0
1881,60.0
1882,54.0
1883,61.0
1884,70.0
1885,68.0
1886,40.0
1887,53.0
1888,55.0
1889,54.0
1890,87.0
1891,93.0
1892,107.0
1893,109.0
1894,117.0
1895,144.0
1896,152.0
1897,154.0
1898,93.0
1899,104.0
1900,104.0
1901,107.0
1902,114.0
1903,124.0
1904,147.0
1905,151.0
1906,153.0
1907,117.0
1908,93.0
1909,99.0
1910,80.0
1911,76.0
1912,76.0
1913,87.0
1914,82.0
1915,107.0
1916,137.0
1917,152.0
1918,149.0
1919,142.0
1920,114.0
1921,95.0
1922,89.0
1923,91.0
1924,99.0
1925,134.0
1926,119.0
1927,95.0
1928,61.0
1929,74.0
1930,68.0
1931,93.0
1932,137.0
1933,158.0
1934,155.0
1935,154.0
1936,152.0
1937,162.0
1938,161.0
1939,132.0
1940,85.0
1941,87.0
1942,85.0
1943,72.0
1944,63.0
1945,70.0
1946,70.0
1947,74.0
1948,80.0
1949,102.0
1950,93.0
1951,112.0
1952,76.0
1953,109.0
1954,74.0
1955,72.0
1956,87.0
1957,80.0
1958,74.0
1959,68.0
1960,72.0
1961,72.0
1962,61.0
1963,65.0
1964,85.0
1965,76.0
1966,93.0
1967,70.0
1968,68.0
1969,68.0
1970,47.0
1971,50.0
1972,27.0
1973,36.0
1974,37.0
1975,25.0
1976,24.0
1977,29.0
1978,49.0
1979,28.0
1980,26.0
1981,27.0
1982,26.0
1983,33.0
1984,31.0
1985,17.0
1986,16.0
1987,19.0
1988,23.0
1989,33.0
1990,33.0
1991,27.0
1992,22.0
1993,25.0
1994,26.0
1995,39.0
1996,34.0
1997,39.0
1998,23.0
1999,23.0
2000,35.0
2001,51.0
2002,61.0
2003,90.0
2004,76.0
2005,26.0
2006,25.0
2007,21.0
2008,28.0
2009,36.0
2010,28.0
2011,58.0
2012,52.0
2013,54.0
2014,55.0
2015,52.0
2016,24.0
2017,34.0
2018,36.0
2019,24.0
2020,35.0
2021,38.0
2022,43.0
2023,37.0
2024,27.0
2025,57.0
2026,36.0
2027,41.0
2028,55.0
2029,46.0
2030,53.0
2031,46.0
2032,32.0
2033,15.0
2034,29.0
2035,38.0
2036,21.0
2037,12.0
2038,36.0
2039,47.0
2040,25.0
2041,25.0
2042,10.0
2043,25.0
2044,47.0
2045,43.0
2046,44.0
2047,48.0
2048,35.0
2049,21.0
2050,9.0
2051,23.0
2052,20.0
2053,18.0
2054,20.0
2055,26.0
2056,17.0
2057,23.0
2058,11.0
2059,15.0
2060,23.0
2061,21.0
2062,14.0
2063,10.0
2064,19.0
2065,22.0
2066,26.0
2067,17.0
2068,21.0
2069,12.0
2070,12.0
2071,24.0
2072,20.0
2073,28.0
2074,21.0
2075,167.0
2076,198.0
2077,216.0
2078,50.0
2079,164.0
2080,164.0
2081,97.0
2082,50.0
2083,72.0
2084,199.0
2085,306.0
2086,277.0
2087,46.0
2088,199.0
2089,225.0
2090,147.0
2091,161.0
2092,294.0
2093,300.0
2094,171.0
2095,93.0
2096,159.0
2097,59.0
2098,63.0
2099,70.0
2100,172.0
2101,181.0
2102,200.0
2103,223.0
2104,190.0
2105,181.0
2106,174.0
2107,25.0
2108,34.0
2109,99.0
2110,171.0
2111,184.0
2112,38.0
2113,119.0
2114,80.0
2115,97.0
2116,91.0
2117,154.0
2118,38.0
2119,93.0
2120,164.0
2121,181.0
2122,80.0
2123,117.0
2124,72.0
2125,80.0
2126,57.0
2127,74.0
2128,129.0
2129,38.0
2130,122.0
2131,95.0
2132,124.0
2133,154.0
2134,158.0
2135,57.0
2136,112.0
2137,59.0
2138,21.0
2139,21.0
2140,21.0
2141,21.0
