,target
608,72.0
609,89.0
610,78.0
611,70.0
612,68.0
613,70.0
614,65.0
615,70.0
616,63.0
617,72.0
618,46.0
619,63.0
620,65.0
621,57.0
622,59.0
623,76.0
624,53.0
625,25.0
626,38.0
627,21.0
628,17.0
629,21.0
630,34.0
631,50.0
632,21.0
633,21.0
634,34.0
635,50.0
636,53.0
637,34.0
638,53.0
639,21.0
640,30.0
641,21.0
642,25.0
643,42.0
644,30.0
645,50.0
646,63.0
647,55.0
648,25.0
649,30.0
650,42.0
651,13.0
652,13.0
653,17.0
654,9.0
655,13.0
656,21.0
657,50.0
658,25.0
659,34.0
660,13.0
661,30.0
662,50.0
663,17.0
664,25.0
665,21.0
666,38.0
667,42.0
668,59.0
669,55.0
670,59.0
671,25.0
672,17.0
673,21.0
674,38.0
675,34.0
676,42.0
677,30.0
678,42.0
679,63.0
680,50.0
681,17.0
682,21.0
683,38.0
684,38.0
685,21.0
686,34.0
687,30.0
688,21.0
689,30.0
690,30.0
691,34.0
692,25.0
693,30.0
694,21.0
695,21.0
696,42.0
697,34.0
698,25.0
699,21.0
700,25.0
701,46.0
702,53.0
703,25.0
704,38.0
705,55.0
706,34.0
707,25.0
708,25.0
709,38.0
710,50.0
711,38.0
712,13.0
713,34.0
714,50.0
715,38.0
716,21.0
717,34.0
718,50.0
719,46.0
720,50.0
721,57.0
722,63.0
723,55.0
724,42.0
725,55.0
726,65.0
727,74.0
728,68.0
729,70.0
730,61.0
731,61.0
732,57.0
733,76.0
734,70.0
735,70.0
736,70.0
737,70.0
738,74.0
739,68.0
740,63.0
741,61.0
742,76.0
743,53.0
744,57.0
745,76.0
746,78.0
747,99.0
748,91.0
749,72.0
750,65.0
751,68.0
752,61.0
753,55.0
754,57.0
755,57.0
756,59.0
757,65.0
758,78.0
759,59.0
760,46.0
761,70.0
762,65.0
763,63.0
764,59.0
765,57.0
766,57.0
767,59.0
768,65.0
769,57.0
770,59.0
771,42.0
772,72.0
773,78.0
774,68.0
775,59.0
776,82.0
777,91.0
778,132.0
779,102.0
780,102.0
781,78.0
782,82.0
783,85.0
784,74.0
785,80.0
786,78.0
787,74.0
788,74.0
789,89.0
790,78.0
791,80.0
792,80.0
793,63.0
794,55.0
795,46.0
796,50.0
797,87.0
798,57.0
799,61.0
800,85.0
801,72.0
802,63.0
803,61.0
804,57.0
805,57.0
806,63.0
807,53.0
808,61.0
809,55.0
810,59.0
811,158.0
812,164.0
813,168.0
814,102.0
815,107.0
816,97.0
817,107.0
818,76.0
819,82.0
820,102.0
821,109.0
822,127.0
823,127.0
824,82.0
825,122.0
826,137.0
827,132.0
828,155.0
829,153.0
830,151.0
831,152.0
832,153.0
833,142.0
834,95.0
835,102.0
836,80.0
837,65.0
838,91.0
839,139.0
840,139.0
841,97.0
842,117.0
843,95.0
844,87.0
845,99.0
846,107.0
847,82.0
848,104.0
849,151.0
850,144.0
851,142.0
852,132.0
853,151.0
854,162.0
855,68.0
856,68.0
857,93.0
858,142.0
859,163.0
860,155.0
861,163.0
862,154.0
863,160.0
864,122.0
865,122.0
866,112.0
867,124.0
868,63.0
869,78.0
870,104.0
871,80.0
872,72.0
873,61.0
874,72.0
875,95.0
876,132.0
877,114.0
878,102.0
879,85.0
880,104.0
881,97.0
882,142.0
883,91.0
884,132.0
885,154.0
886,95.0
887,91.0
888,104.0
889,114.0
890,137.0
891,99.0
892,107.0
893,97.0
894,104.0
895,117.0
896,68.0
897,50.0
898,55.0
899,68.0
900,76.0
901,82.0
902,85.0
903,89.0
904,93.0
905,89.0
906,73.0
907,98.0
908,95.0
909,71.0
910,122.0
911,126.0
912,117.0
913,66.0
914,65.0
915,93.0
916,114.0
917,128.0
918,75.0
919,100.0
920,97.0
921,95.0
922,152.0
923,161.0
924,185.0
925,168.0
926,163.0
927,164.0
928,167.0
929,166.0
930,180.0
931,181.0
932,164.0
933,161.0
934,164.0
935,163.0
936,161.0
937,174.0
938,169.0
939,163.0
940,149.0
941,150.0
942,154.0
943,153.0
944,157.0
945,164.0
946,172.0
947,190.0
948,186.0
949,183.0
950,183.0
951,186.0
952,169.0
953,158.0
954,120.0
955,91.0
956,79.0
957,51.0
958,69.0
959,94.0
960,103.0
961,93.0
962,96.0
963,151.0
964,109.0
965,124.0
966,93.0
967,84.0
968,62.0
969,105.0
970,139.0
971,152.0
972,153.0
973,154.0
974,70.0
975,83.0
976,70.0
977,95.0
978,124.0
979,156.0
980,143.0
981,86.0
982,98.0
983,90.0
984,70.0
985,100.0
986,149.0
987,158.0
988,130.0
989,90.0
990,95.0
991,118.0
992,135.0
993,93.0
994,112.0
995,124.0
996,34.0
997,46.0
998,50.0
999,50.0
1000,17.0
1001,30.0
1002,30.0
1003,42.0
1004,59.0
1005,76.0
1006,76.0
1007,42.0
1008,59.0
1009,59.0
1010,57.0
1011,38.0
1012,30.0
1013,46.0
1014,50.0
1015,68.0
1016,63.0
1017,59.0
1018,57.0
1019,78.0
1020,89.0
1021,85.0
1022,55.0
1023,46.0
1024,34.0
1025,38.0
1026,53.0
1027,50.0
1028,55.0
1029,42.0
1030,21.0
1031,34.0
1032,42.0
1033,63.0
1034,55.0
1035,50.0
1036,61.0
1037,46.0
1038,55.0
1039,42.0
1040,46.0
1041,46.0
1042,61.0
1043,76.0
1044,46.0
1045,25.0
1046,38.0
1047,46.0
1048,63.0
1049,55.0
1050,63.0
1051,42.0
1052,25.0
1053,25.0
1054,55.0
1055,53.0
1056,42.0
1057,42.0
1058,34.0
1059,42.0
1060,38.0
1061,55.0
1062,34.0
1063,34.0
1064,50.0
1065,46.0
1066,30.0
1067,53.0
1068,61.0
1069,25.0
1070,30.0
1071,50.0
1072,42.0
1073,57.0
1074,72.0
1075,76.0
1076,63.0
1077,25.0
1078,30.0
1079,42.0
1080,30.0
1081,25.0
1082,42.0
1083,61.0
1084,65.0
1085,70.0
1086,25.0
1087,34.0
1088,38.0
1089,21.0
1090,17.0
1091,28.0
1092,23.0
1093,26.0
1094,21.0
1095,25.0
1096,32.0
1097,31.0
1098,22.0
1099,18.0
1100,35.0
1101,20.0
1102,21.0
1103,27.0
1104,18.0
1105,23.0
1106,17.0
1107,30.0
1108,32.0
1109,34.0
1110,30.0
1111,15.0
1112,25.0
1113,31.0
1114,30.0
1115,49.0
1116,40.0
1117,41.0
1118,47.0
1119,30.0
1120,15.0
1121,29.0
1122,24.0
1123,14.0
1124,13.0
1125,25.0
1126,25.0
1127,28.0
1128,28.0
1129,18.0
1130,25.0
1131,20.0
1132,26.0
1133,28.0
1134,34.0
1135,30.0
1136,20.0
1137,31.0
1138,25.0
1139,25.0
1140,34.0
1141,38.0
1142,30.0
1143,19.0
1144,25.0
1145,21.0
1146,21.0
1147,28.0
1148,46.0
1149,30.0
1150,34.0
1151,30.0
1152,29.0
1153,20.0
1154,27.0
1155,30.0
1156,38.0
1157,25.0
1158,31.0
1159,38.0
1160,18.0
1161,21.0
1162,15.0
1163,25.0
1164,30.0
1165,38.0
1166,37.0
1167,30.0
1168,18.0
1169,23.0
1170,19.0
1171,29.0
1172,23.0
1173,30.0
1174,59.0
1175,55.0
1176,20.0
1177,25.0
1178,23.0
1179,25.0
1180,27.0
1181,41.0
1182,46.0
1183,74.0
1184,82.0
1185,129.0
1186,63.0
1187,74.0
1188,74.0
1189,87.0
1190,97.0
1191,87.0
1192,74.0
1193,76.0
1194,68.0
1195,89.0
1196,127.0
1197,137.0
1198,129.0
1199,95.0
1200,95.0
1201,85.0
1202,87.0
1203,80.0
1204,87.0
1205,70.0
1206,127.0
1207,107.0
1208,78.0
1209,95.0
1210,117.0
1211,109.0
1212,152.0
1213,139.0
1214,70.0
1215,74.0
1216,82.0
1217,91.0
1218,107.0
1219,107.0
1220,129.0
1221,112.0
1222,151.0
1223,61.0
1224,65.0
1225,70.0
1226,76.0
1227,87.0
1228,124.0
1229,147.0
1230,153.0
1231,149.0
1232,127.0
1233,107.0
1234,112.0
1235,119.0
1236,129.0
1237,114.0
1238,172.0
1239,107.0
1240,119.0
1241,151.0
1242,144.0
1243,129.0
1244,65.0
1245,89.0
1246,107.0
1247,124.0
1248,109.0
1249,177.0
1250,155.0
1251,129.0
1252,159.0
1253,158.0
1254,122.0
1255,97.0
1256,97.0
1257,99.0
1258,95.0
1259,97.0
1260,107.0
1261,114.0
1262,91.0
1263,91.0
1264,112.0
1265,76.0
1266,99.0
1267,97.0
1268,89.0
1269,127.0
1270,147.0
1271,99.0
1272,80.0
1273,99.0
1274,112.0
1275,119.0
1276,89.0
1277,76.0
1278,87.0
1279,112.0
1280,134.0
1281,134.0
1282,153.0
1283,154.0
1284,151.0
1285,154.0
1286,107.0
1287,91.0
1288,95.0
1289,97.0
1290,97.0
1291,114.0
1292,119.0
1293,147.0
1294,151.0
1295,151.0
1296,107.0
1297,85.0
1298,89.0
1299,61.0
1300,57.0
1301,38.0
1302,50.0
1303,65.0
1304,68.0
1305,102.0
1306,112.0
1307,149.0
1308,152.0
1309,139.0
1310,117.0
1311,82.0
1312,76.0
1313,70.0
1314,95.0
1315,122.0
1316,104.0
1317,139.0
1318,117.0
1319,42.0
1320,38.0
1321,50.0
1322,42.0
1323,50.0
1324,91.0
1325,112.0
1326,144.0
1327,139.0
1328,127.0
1329,127.0
1330,155.0
1331,155.0
1332,107.0
1333,91.0
1334,87.0
1335,72.0
1336,65.0
1337,72.0
1338,55.0
1339,46.0
1340,53.0
1341,55.0
1342,53.0
1343,59.0
1344,76.0
1345,76.0
1346,97.0
1347,65.0
1348,68.0
1349,55.0
1350,63.0
1351,82.0
1352,65.0
1353,59.0
1354,59.0
1355,55.0
1356,59.0
1357,50.0
1358,50.0
1359,46.0
1360,50.0
1361,34.0
1362,38.0
1363,53.0
1364,42.0
1365,59.0
1366,63.0
1367,38.0
1368,38.0
1369,53.0
1370,50.0
1371,38.0
1372,59.0
1373,34.0
1374,17.0
1375,21.0
1376,42.0
1377,53.0
1378,34.0
1379,21.0
1380,13.0
1381,21.0
1382,34.0
1383,50.0
1384,50.0
1385,34.0
1386,38.0
1387,25.0
1388,13.0
1389,9.0
1390,34.0
1391,76.0
1392,55.0
1393,63.0
1394,57.0
1395,25.0
1396,30.0
1397,13.0
1398,17.0
1399,21.0
1400,21.0
1401,17.0
1402,13.0
1403,38.0
1404,34.0
1405,21.0
1406,30.0
1407,38.0
1408,53.0
1409,61.0
1410,38.0
1411,25.0
1412,30.0
1413,59.0
1414,21.0
1415,50.0
1416,65.0
1417,76.0
1418,25.0
1419,21.0
1420,42.0
1421,55.0
1422,57.0
1423,50.0
1424,46.0
1425,50.0
1426,21.0
1427,25.0
1428,53.0
1429,46.0
1430,13.0
1431,17.0
1432,9.0
1433,21.0
1434,13.0
1435,9.0
1436,9.0
1437,13.0
1438,17.0
1439,21.0
1440,34.0
1441,50.0
1442,38.0
1443,21.0
1444,30.0
1445,21.0
1446,30.0
1447,34.0
1448,34.0
1449,25.0
1450,30.0
1451,21.0
1452,17.0
1453,25.0
1454,17.0
1455,21.0
1456,17.0
1457,25.0
1458,17.0
1459,21.0
1460,9.0
1461,9.0
1462,13.0
1463,21.0
1464,21.0
1465,25.0
1466,25.0
1467,38.0
1468,21.0
1469,42.0
1470,25.0
1471,13.0
1472,9.0
1473,30.0
1474,30.0
1475,25.0
1476,17.0
1477,13.0
1478,30.0
1479,25.0
1480,21.0
1481,25.0
1482,38.0
1483,46.0
1484,59.0
1485,99.0
1486,99.0
1487,85.0
1488,61.0
1489,63.0
1490,13.0
1491,17.0
1492,30.0
1493,21.0
1494,13.0
1495,13.0
1496,17.0
1497,17.0
1498,21.0
1499,34.0
1500,57.0
1501,55.0
1502,46.0
1503,17.0
1504,50.0
1505,25.0
1506,21.0
1507,30.0
1508,46.0
1509,30.0
1510,13.0
1511,25.0
1512,21.0
1513,30.0
1514,17.0
1515,30.0
1516,25.0
1517,13.0
1518,9.0
1519,13.0
1520,21.0
1521,17.0
1522,30.0
1523,38.0
1524,21.0
1525,17.0
1526,25.0
1527,25.0
1528,17.0
1529,34.0
1530,34.0
1531,21.0
1532,34.0
1533,13.0
1534,17.0
1535,21.0
1536,30.0
1537,17.0
1538,25.0
1539,25.0
1540,50.0
1541,55.0
1542,63.0
1543,78.0
1544,46.0
1545,38.0
1546,34.0
1547,53.0
1548,59.0
1549,65.0
1550,91.0
1551,107.0
1552,30.0
1553,25.0
1554,34.0
1555,57.0
1556,50.0
1557,30.0
1558,42.0
1559,74.0
1560,61.0
1561,65.0
1562,55.0
1563,82.0
1564,74.0
1565,78.0
1566,78.0
1567,78.0
1568,74.0
1569,70.0
1570,114.0
1571,104.0
1572,114.0
1573,89.0
1574,102.0
1575,89.0
1576,72.0
1577,70.0
1578,91.0
1579,93.0
1580,109.0
1581,107.0
1582,82.0
1583,63.0
1584,107.0
1585,139.0
1586,139.0
1587,97.0
1588,117.0
1589,102.0
1590,129.0
1591,93.0
1592,85.0
1593,107.0
1594,95.0
1595,129.0
1596,102.0
1597,119.0
1598,82.0
1599,99.0
1600,102.0
1601,91.0
1602,107.0
1603,95.0
1604,117.0
1605,93.0
1606,80.0
1607,122.0
1608,99.0
1609,93.0
1610,93.0
1611,99.0
1612,82.0
1613,95.0
1614,89.0
1615,93.0
1616,107.0
1617,95.0
1618,114.0
1619,93.0
1620,95.0
1621,119.0
1622,97.0
1623,87.0
1624,78.0
1625,93.0
1626,76.0
1627,74.0
1628,57.0
1629,63.0
1630,68.0
1631,78.0
1632,95.0
1633,85.0
1634,87.0
1635,65.0
1636,57.0
1637,70.0
1638,63.0
1639,85.0
1640,87.0
1641,82.0
1642,80.0
1643,74.0
1644,80.0
1645,78.0
1646,65.0
1647,72.0
1648,59.0
1649,78.0
1650,104.0
1651,68.0
1652,80.0
1653,154.0
1654,99.0
1655,188.0
1656,152.0
1657,153.0
1658,72.0
1659,127.0
1660,119.0
1661,89.0
1662,144.0
1663,182.0
1664,207.0
1665,212.0
1666,159.0
1667,55.0
1668,158.0
1669,163.0
1670,169.0
1671,187.0
1672,193.0
1673,180.0
1674,93.0
1675,112.0
1676,70.0
1677,55.0
1678,149.0
1679,161.0
1680,154.0
1681,164.0
1682,165.0
1683,139.0
1684,82.0
1685,163.0
1686,102.0
1687,97.0
1688,61.0
1689,87.0
1690,117.0
1691,132.0
1692,107.0
1693,102.0
1694,122.0
1695,117.0
1696,72.0
1697,42.0
1698,72.0
1699,57.0
1700,72.0
1701,112.0
1702,112.0
1703,93.0
1704,154.0
1705,134.0
1706,153.0
1707,157.0
1708,78.0
1709,99.0
1710,93.0
1711,68.0
1712,82.0
1713,89.0
1714,85.0
1715,132.0
1716,93.0
1717,99.0
1718,157.0
1719,109.0
1720,65.0
1721,89.0
1722,155.0
1723,154.0
1724,142.0
1725,76.0
1726,109.0
1727,68.0
1728,91.0
1729,132.0
1730,72.0
1731,76.0
1732,114.0
1733,104.0
1734,68.0
1735,68.0
1736,97.0
1737,149.0
1738,34.0
1739,53.0
1740,59.0
1741,82.0
1742,85.0
1743,109.0
1744,72.0
1745,127.0
1746,156.0
1747,56.0
1748,74.0
1749,124.0
1750,68.0
1751,26.0
1752,32.0
1753,17.0
1754,22.0
1755,21.0
1756,30.0
1757,51.0
1758,31.0
1759,20.0
1760,26.0
1761,42.0
1762,67.0
1763,79.0
1764,62.0
1765,59.0
1766,54.0
1767,50.0
1768,37.0
1769,38.0
1770,57.0
1771,116.0
1772,70.0
1773,65.0
1774,53.0
1775,59.0
1776,69.0
1777,48.0
1778,35.0
1779,26.0
1780,21.0
1781,23.0
1782,31.0
1783,30.0
1784,52.0
1785,51.0
1786,51.0
1787,55.0
1788,44.0
1789,47.0
1790,62.0
1791,54.0
1792,35.0
1793,17.0
1794,25.0
1795,44.0
1796,63.0
1797,56.0
1798,49.0
1799,53.0
1800,51.0
1801,42.0
1802,55.0
1803,47.0
1804,51.0
1805,51.0
1806,38.0
1807,32.0
1808,45.0
1809,44.0
1810,51.0
1811,66.0
1812,38.0
1813,54.0
1814,51.0
1815,43.0
1816,29.0
1817,23.0
1818,10.0
1819,25.0
1820,40.0
1821,41.0
1822,40.0
1823,34.0
1824,42.0
1825,58.0
1826,38.0
1827,26.0
1828,16.0
1829,11.0
1830,39.0
1831,47.0
1832,49.0
1833,43.0
1834,50.0
1835,51.0
1836,57.0
1837,51.0
1838,53.0
1839,56.0
1840,52.0
1841,9.0
1842,17.0
1843,21.0
1844,55.0
1845,25.0
1846,50.0
1847,50.0
1848,53.0
1849,34.0
1850,30.0
1851,46.0
1852,34.0
1853,46.0
1854,57.0
1855,63.0
1856,61.0
1857,61.0
1858,55.0
1859,42.0
1860,53.0
1861,50.0
1862,55.0
1863,53.0
1864,38.0
1865,25.0
1866,30.0
1867,34.0
1868,38.0
1869,42.0
1870,38.0
1871,34.0
1872,21.0
1873,13.0
1874,17.0
1875,13.0
1876,21.0
1877,34.0
1878,34.0
1879,38.0
1880,38.0
1881,30.0
1882,34.0
1883,25.0
1884,38.0
1885,50.0
1886,46.0
1887,42.0
1888,42.0
1889,46.0
1890,50.0
1891,53.0
1892,57.0
1893,50.0
1894,50.0
1895,50.0
1896,53.0
1897,53.0
1898,50.0
1899,50.0
1900,42.0
1901,50.0
1902,38.0
1903,30.0
1904,50.0
1905,50.0
1906,46.0
1907,53.0
1908,53.0
1909,53.0
1910,57.0
1911,53.0
1912,46.0
1913,38.0
1914,46.0
1915,50.0
1916,46.0
1917,46.0
1918,53.0
1919,46.0
1920,42.0
1921,38.0
1922,42.0
1923,50.0
1924,34.0
1925,46.0
1926,42.0
1927,46.0
1928,38.0
1929,42.0
1930,46.0
1931,46.0
1932,46.0
1933,42.0
1934,21.0
1935,30.0
1936,38.0
1937,42.0
1938,144.0
1939,153.0
1940,114.0
1941,46.0
1942,68.0
1943,74.0
1944,59.0
1945,46.0
1946,30.0
1947,25.0
1948,21.0
1949,17.0
1950,25.0
1951,42.0
1952,102.0
1953,21.0
1954,21.0
1955,21.0
1956,57.0
1957,30.0
1958,17.0
1959,17.0
1960,21.0
1961,55.0
1962,124.0
1963,127.0
1964,82.0
1965,65.0
1966,55.0
1967,72.0
1968,50.0
1969,30.0
1970,25.0
1971,61.0
1972,82.0
1973,112.0
1974,55.0
1975,68.0
1976,30.0
1977,34.0
1978,46.0
1979,50.0
1980,34.0
1981,55.0
1982,30.0
1983,30.0
1984,63.0
1985,99.0
1986,114.0
1987,70.0
1988,59.0
1989,38.0
1990,21.0
1991,30.0
1992,55.0
1993,50.0
1994,53.0
1995,38.0
1996,38.0
1997,53.0
1998,80.0
1999,46.0
2000,9.0
2001,9.0
2002,25.0
2003,53.0
2004,50.0
2005,57.0
2006,25.0
2007,34.0
2008,104.0
2009,38.0
2010,57.0
2011,74.0
2012,59.0
2013,34.0
2014,30.0
2015,30.0
2016,17.0
2017,17.0
2018,34.0
2019,42.0
2020,50.0
2021,42.0
2022,21.0
2023,30.0
2024,30.0
2025,30.0
2026,28.0
2027,34.0
2028,30.0
2029,36.0
2030,63.0
2031,55.0
2032,50.0
2033,53.0
2034,57.0
2035,30.0
2036,30.0
2037,30.0
2038,21.0
2039,17.0
2040,17.0
2041,21.0
2042,30.0
2043,34.0
2044,46.0
2045,32.0
2046,34.0
2047,55.0
2048,59.0
2049,57.0
2050,30.0
2051,13.0
2052,21.0
2053,25.0
2054,18.0
2055,25.0
2056,42.0
2057,46.0
2058,26.0
2059,29.0
2060,23.0
2061,22.0
2062,17.0
2063,21.0
2064,21.0
2065,25.0
2066,25.0
2067,17.0
2068,17.0
2069,25.0
2070,34.0
2071,21.0
2072,25.0
2073,25.0
2074,25.0
2075,42.0
2076,61.0
2077,51.0
2078,34.0
2079,21.0
2080,25.0
2081,24.0
2082,25.0
2083,19.0
2084,25.0
2085,21.0
2086,21.0
2087,25.0
2088,25.0
2089,25.0
2090,30.0
2091,25.0
2092,30.0
2093,50.0
2094,30.0
2095,21.0
2096,19.0
2097,17.0
2098,35.0
2099,23.0
2100,21.0
2101,25.0
2102,26.0
2103,21.0
2104,76.0
2105,60.0
2106,28.0
2107,7.0
2108,59.0
2109,25.0
2110,24.0
2111,55.0
2112,16.0
2113,10.0
2114,33.0
2115,54.0
2116,69.0
2117,78.0
2118,66.0
2119,59.0
2120,20.0
2121,15.0
2122,29.0
2123,62.0
2124,58.0
2125,63.0
2126,59.0
2127,53.0
2128,51.0
2129,33.0
2130,37.0
2131,58.0
2132,46.0
2133,31.0
2134,18.0
2135,1.0
2136,30.0
2137,55.0
2138,59.0
2139,53.0
2140,50.0
2141,15.0
